Province,Type,Cd,Year,Reference
Guangdong,Mining/smelting soils,184.09,2023.0,"Non-Carcinogenic Risk Assessment for Heavy Metals in the Soil and Rice in the Vicinity of Dabaoshan Mine, South China"
Guangdong,Agricultural soils,0.11,2022.0,Pollution Risk Assessment and Sources Analysis of Heavy Metal in Soil from Bamboo Shoots
Guangdong,Urban soils,0.34,2022.0,Estimation of the accumulation rates and health risks of heavy metals in residential soils of three metropolitan cities in China
Guangdong,Urban soils,0.45,,
Guangdong,Agricultural soils,0.51,,
Guangdong,Urban soils,17.05,2022.0,"Characteristics and Risk of Forest Soil Heavy Metal Pollution in Western Guangdong Province, China"
Guangdong,Agricultural soils,0.44,2021.0,"Spatiotemporal simulation, early warning, and policy recommendations of the soil heavy metal environmental capacity of the agricultural land in a typical industrial city in China: Case of Zhongshan City"
Guangdong,Agricultural soils,0.83,2022.0,Geochemical Fractionation and Source Identification of Pb and Cd in Riparian Soils and River Sediments from Three Lower Reaches Located in the Pearl River Delta
Guangdong,Agricultural soils,0.21,,
Guangdong,Agricultural soils,0.79,,
Guangdong,Urban soils,0.14,2024.0,"Assessment of soil environmental capacity for heavy metals in Shantou City, Guangdong Province, China: source analysis and enrichment evaluation"
Guangdong,Urban soils,0.599,2022.0,"Assessment of Soil Heavy Metal Pollution and Its Ecological Risk for City Parks, Vicinity of a Landfill, and an Industrial Area within Guangzhou, South China"
Guangdong,Urban soils,0.31,,
Guangdong,Industrial soils,1.415,,
Guangdong,Urban soils,0.1,2022.0,"Spatial distribution characteristics, influencing factors, and source distribution of soil cadmium in Shantou City, Guangdong Province"
Guangdong,Urban soils,0.09,2021.0,"Spatial Distribution and Source Apportionment of Soil Heavy Metals in Pearl River Delta, China"
Guangdong,Industrial soils,3.42,2021.0,"Environmental Effects of Heavy Metals from the E-Waste Dismantling Site, South China"
Guangdong,Industrial soils,0.82,2023.0,"Research on health risk assessment of heavy metals in soil based on multi-factor source apportionment: A case study in Guangdong Province, China"
Guangdong,Agricultural soils,2.31,2025.0,"Screening of Practical Low-accumulating Crops in Cadmium-polluted Farmland: A Field Survey and Field Trail in Guangdong Province, China"
Guangdong,Agricultural soils,0.2,,
Guangdong,Agricultural soils,0.22,,
Guangdong,Agricultural soils,0.34,,
Guangdong,Agricultural soils,10.63,,
Guangdong,Agricultural soils,0.29,,
Guangdong,Agricultural soils,0.18,,
Guangdong,Agricultural soils,0.18,2025.0,Identification of the pollution sources and hidden clustering patterns for potentially toxic elements in typical peri-urban agricultural soils in southern China
Guangdong,Urban soils,0.07,2021.0,佛山城市森林公园表层土壤重金属累积特征、影响因素及其评价
Guangdong,Urban soils,0.05,2021.0,深圳市不同土类的重金属环境背景值与理化性质特征
Guangdong,Urban soils,0.05,,
Guangdong,Urban soils,0.05,,
Guangdong,Industrial soils,0.11,2022.0,某污染地块不同功能区土壤重金属污染特征与来源分析
Guangdong,Urban soils,0.54,2022.0,广州市城市公园土壤重金属累积特征、形态分布及其生态风险
Guangdong,Mining/smelting soils,2.92,2022.0,广东韶关乐昌铅锌矿土壤重金属污染特征及评价
Guangdong,Urban soils,0.5914285714285714,2022.0,广州城市公园绿地重金属环境磁学研究
Guangdong,Agricultural soils,0.2,2022.0,湛江东北部农用地土壤重金属污染及生态风险评价
Guangdong,Industrial soils,0.79,2023.0,典型电子垃圾拆解区周边耕地土壤重金属污染特征及风险评价
Guangdong,Mining/smelting soils,0.82,2023.0,粤北典型工矿区土壤重金属富集特征、来源解析及风险评价
Guangdong,Agricultural soils,0.36,2024.0,广东典型城乡结合带农田土壤重金属污染特征及来源解析
Guangdong,Mining/smelting soils,7.9,2024.0,金属矿区周边农田土壤与农作物重金属健康风险评估
Guangdong,Urban soils,0.07,2025.0,广东省典型城市公园土壤重金属来源解析及风险评估
Guangdong,Urban soils,0.48,,
Guangdong,Urban soils,0.05,,
Guangdong,Urban soils,0.155,2025.0,广州市城市公园绿地土壤重金属污染特征及健康风险评估
Guangdong,Urban soils,0.08,2025.0,广东雷州东部土壤重金属分布特征、来源分析及健康风险评价
Guangdong,Industrial soils,0.51,2021.0,佛山陶瓷工业区土壤重金属含量及生态风险评价
Guangdong,Industrial soils,34.63,2022.0,清远电子垃圾拆解区土壤重金属污染空间分布特征及风险评价
Guangdong,Urban soils,0.12,2024.0,广东惠州金山新城规划区土壤地球化学背景值及分区研究
Guangdong,Urban soils,0.14,2025.0,汕头市表层土壤Pb地球化学特征及来源解析
Guangxi,Mining/smelting soils,2.77,2022.0,Apportionment and Spatial Pattern Analysis of Soil Heavy Metal Pollution Sources Related to Industries of Concern in a County in Southwestern China
Guangxi,Mining/smelting soils,3.04,,
Guangxi,Agricultural soils,2.26,2023.0,Pollution characteristics and source identification of farmland soils in Pb–Zn mining areas through an integrated approach
Guangxi,Agricultural soils,1.75,2024.0,"Spatial distribution, risk assessment, and source apportionment of soil heavy metals in a karst county based on grid survey"
Guangxi,Mining/smelting soils,3.06,2024.0,"Ecological risk, source apportionment, and influencing factors of heavy metals in soil in a typical lead-zinc mining watershed, Guangxi, China"
Guangxi,Mining/smelting soils,0.52,2024.0,"Exploring the geochemical characteristics, sources, influencing factors, and potential remediation strategies of Cd in a typical karst region"
Guangxi,Mining/smelting soils,0.8,2022.0,New strategy for exploring the accumulation of heavy metals in soils derived from different parent materials in the karst region of southwestern China
Guangxi,Mining/smelting soils,1.75,,
Guangxi,Mining/smelting soils,0.16,,
Guangxi,Mining/smelting soils,0.19,,
Guangxi,Mining/smelting soils,0.073,,
Guangxi,Mining/smelting soils,0.095,,
Guangxi,Agricultural soils,6.9,2021.0,河池市某废弃冶炼厂周边农田土壤重金属污染特征及风险评价
Guangxi,Agricultural soils,1.49,2022.0,广西喀斯特地貌区土壤重金属来源与生态风险评价
Guangxi,Mining/smelting soils,0.37,2023.0,南丹矿区周边农田土壤质量综合评价研究
Guangxi,Urban soils,2.77,2024.0,高地球化学背景地区重金属污染分布特征及源解析研究
Guangxi,Urban soils,1.05,,
Guangxi,Urban soils,0.09,,
Guangxi,Mining/smelting soils,1.15,2024.0,广西废弃矿区土壤中Cd、Pb、As污染特征及环境质量评价研究
Guangxi,Mining/smelting soils,1.16,2021.0,广西某有色金属矿区土壤重金属地球化学基线值的确定及其污染评价
Guangxi,Mining/smelting soils,19.49,2023.0,广西某铅锌尾矿库区土壤中重金属Cd、Pb、Zn、Cu的分布特征及源解析
Guangxi,Mining/smelting soils,19.49,2024.0,喀斯特地区尾矿库周边植物重金属富集特征及空间分布
Shandong,Mining/smelting soils,0.15,2021.0,"Assessment of Potential Ecological Risk of Heavy Metals in Surface Soils of Laizhou, Eastern China"
Shandong,Mining/smelting soils,0.11,2023.0,"Risk assessment of soil heavy metals in mining activity areas: a case study in Eastern Shandong Province, China"
Shandong,Mining/smelting soils,0.2,2022.0,"Evaluating heavy metal pollution and potential risk of soil around a coal mining region of Tai’an City, China"
Shandong,Agricultural soils,0.24,2022.0,"Heavy Metal Contamination in Soils from a Major Planting Base of Winter Jujube in the Yellow River Delta, China"
Shandong,Agricultural soils,0.17,2022.0,"Pollution assessment, source identification, and health risks of heavy metals: a case study in a typical wheat–maize rotation area of eastern China"
Shandong,Agricultural soils,0.12,,
Shandong,Industrial soils,0.21,2025.0,Quantitative analysis and risk assessment of heavy metal pollution in an intensive industrial and agricultural region
Shandong,Agricultural soils,0.118,2022.0,"Spatial Distribution, Pollution Characteristics, and Health Risk Assessment of Heavy Metals in Soils from a Typical Agricultural County, East China"
Shandong,Mining/smelting soils,0.129,2022.0,Quantitative Source Apportionment and Uncertainty Analysis of Heavy Metal(loid)s in the Topsoil of the Nansi Lake Nature Reserve
Shandong,Mining/smelting soils,0.09,2022.0,"Spatial Distribution and Source Apportionment of Heavy Metals in the Topsoil of Weifang City, East China"
Shandong,Industrial soils,0.1,2022.0,Spatial Distribution Profiles and Human-Health Risks of Heavy Metals in Surrounding Area Surface Soils of a Petrochemical Complex
Shandong,Industrial soils,0.15,2023.0,"Source apportionment and assessment of risk to human health of soil heavy metals: a high-density sampling survey in the Dan River Basin, Shandong Province, China"
Shandong,Agricultural soils,0.13,2024.0,Pollution and mobility of heavy metals in the soils of a typical agricultural zone in eastern China
Shandong,Natural soils,0.13,2022.0,"Distribution and Influencing Factors of Metals in Surface Soil from the Yellow River Delta, China"
Shandong,Natural soils,0.11,2024.0,"Geochemical baseline establishment, pollution level and health risk assessment of soil heavy metals in the upper Xiaowen River Basin, Shandong Province, China"
Shandong,Natural soils,0.14,2023.0,"Pollution Characteristics, Spatial Distribution, and Evaluation of Heavy Metal(loid)s in Farmland Soils in a Typical Mountainous Hilly Area in China"
Shandong,Agricultural soils,0.1,2021.0,"Source and Health Risk Assessment of Heavy Metals in Soil–Ginger System in the Jing River Basin of Shandong Province, North China"
Shandong,Agricultural soils,0.137,2024.0,Assessment of health risks based on different populations and sources of heavy metals on agricultural lane in Tengzhou City by APCS-MLR models
Shandong,Urban soils,0.18,2024.0,Health risk assessment of soil heavy metals in a typical mining town in north China based on Monte Carlo simulation coupled with Positive matrix factorization model
Shandong,Urban soils,0.19,2024.0,"Characterization of soil trace metal pollution, source identification, and health risk assessment in the middle reaches of the Guihe River Basin"
Shandong,Urban soils,0.23,2021.0,Evaluating source-oriented human health risk of potentially toxic elements: A new exploration of multiple age groups division
Shandong,Urban soils,0.16,2021.0,典型石化工业城市土壤重金属源解析及空间分布模拟
Shandong,Urban soils,0.15,2021.0,基于多元统计的土壤主要重金属影响因素分析——以济南市平阴县城区及附近区域为例
Shandong,Urban soils,0.07,2022.0,泰安市城区土壤重金属污染特征及风险评价
Shandong,Industrial soils,0.14,2022.0,小城镇工业园区土壤重金属污染调查与评价——以肥城市为例
Shandong,Industrial soils,0.13,,
Shandong,Urban soils,0.09,2022.0,莱州湾以南表层土壤重金属分布与生态风险
Shandong,Urban soils,0.12,2022.0,山东省沂南县东部土壤重金属地球化学特征及源解析
Shandong,Mining/smelting soils,0.33,2022.0,龙口市污灌区重金属污染影响因子分析
Shandong,Urban soils,0.12,2022.0,山东省沂南县东部土壤重金属生态健康风险评价
Shandong,Urban soils,0.16,2022.0,县域城市土壤重金属空间分布特征及来源解析
Shandong,Agricultural soils,0.26,2022.0,废旧塑料再生基地农田土壤重金属污染特征及风险评价
Shandong,Urban soils,0.15,2024.0,典型城镇区土壤重金属地球化学特征、污染评价及源解析
Shandong,Urban soils,0.14,2024.0,淄博市土壤Cd和Pb的污染状况评价及健康风险评估
Shandong,Agricultural soils,0.17,2024.0,聊城市典型农业区土壤重金属分布特征、生态风险及来源解析
Shandong,Mining/smelting soils,0.1,2024.0,胶东半岛某金矿周边土壤重金属的污染特征、来源分析及风险评价
Shandong,Agricultural soils,0.2,2025.0,聊城耕层土壤重金属污染特征、评价及源解析
Shandong,Urban soils,0.15,2025.0,单县表层土壤重金属污染特征、健康风险及溯源解析
Shandong,Mining/smelting soils,0.15,2024.0,山东省唐口矿区采煤塌陷地复垦土壤重金属潜在生态风险评价
Shandong,Industrial soils,0.51,2024.0,青岛某工业园区重点监管企业土壤重金属污染特征及源解析
Shandong,Urban soils,0.19,2024.0,郓城县北部地区土壤元素地球化学背景值特征
Shandong,Agricultural soils,0.15,2025.0,济南市洪范池地区土壤重金属地球化学特征与潜在生态风险评价
Shanxi,Industrial soils,3.53,2022.0,"Spatial variability and riskassessment of heavy metals in the soil surrounding solid waste from coking plants in Shanxi, china"
Shanxi,Industrial soils,10.56,,
Shanxi,Industrial soils,8.04,,
Shanxi,Agricultural soils,0.27,2024.0,"Distribution, Source, and Ecological Risk of Heavy Metals in Sewage Irrigation of Taiyuan, Shanxi Province, China"
Shanxi,Agricultural soils,0.19,,
Shanxi,Agricultural soils,0.18,,
Shanxi,Agricultural soils,0.21,2021.0,Accumulation risk and source apportionment of heavy metals in different types of farmland in a typical farming area of northern China
Shanxi,Agricultural soils,0.2330434782608695,2023.0,"The Concentrations, Sources, Ecological, and Human Health Risk Assessment of Heavy Metals in Roadside Soils of Six Cities in Shanxi Province, China"
Shanxi,Agricultural soils,0.2237499999999999,,
Shanxi,Agricultural soils,0.24,,
Shanxi,Agricultural soils,0.17,,
Shanxi,Agricultural soils,0.1792307692307692,,
Shanxi,Agricultural soils,0.192,,
Shanxi,Agricultural soils,0.15,2022.0,"Study and Risk Assessment of Heavy Metals and Risk Element Pollution in Shallow Soil in Shanxi Province, China"
Shanxi,Agricultural soils,1.14,2023.0,Spatial Differentiation Characteristics and Evaluation of Cu and Cd in Paddy Soil around a Copper Smelter
Shanxi,Industrial soils,0.2,2022.0,"Spatial clustering and source-specific risk of combined pollutants in soils from an industrial area in Shanxi Province, China"
Shanxi,Agricultural soils,0.26,2023.0,Characteristics and pollution risks of potentially toxic elements and nematode community structure on farm soil near coal mines
Shanxi,Agricultural soils,0.46,2021.0,山西省天镇县设施菜地土壤重金属污染评价及其源解析
Shanxi,Agricultural soils,0.12,2021.0,太原市农田土壤重金属污染评价与空间分布特征
Shanxi,Industrial soils,0.25,2022.0,山西焦化园区土壤重金属污染及概率健康风险评价
Shanxi,Industrial soils,0.27,2022.0,典型煤炭产业聚集区土壤重金属污染特征与风险评价
Shanxi,Urban soils,1.93,2023.0,大同市城区公园表层土壤重金属污染特征和健康风险及来源解析
Shanxi,Industrial soils,0.78,2025.0,典型燃煤工业区周边耕地土壤重金属污染特征、风险与源解析
Shanxi,Industrial soils,0.36,,
Shanxi,Industrial soils,0.34,,
Shanxi,Industrial soils,0.58,,
Shanxi,Mining/smelting soils,7.47,2025.0,江西于都某钨矿区土壤重金属特征及生态风险评价
Shanxi,Agricultural soils,4.53,2023.0,赣东北典型重(类)金属污染农田土壤人体健康风险评估
Shanxi,Mining/smelting soils,0.3,2024.0,某煤矿区土壤中重金属污染状况及风险评估
Guizhou,Urban soils,0.462,2021.0,Quantitative determination of auxiliary information for mapping soil heavy metals and soil contamination risk assessment
Guizhou,Mining/smelting soils,2.08,2023.0,"Effects of multi-heavy metal composite pollution on microorganisms around a lead-zinc mine in typical karst areas, southwest China"
Guizhou,Urban soils,0.385,,长江经济带
Guizhou,Urban soils,0.435,,
Guizhou,Agricultural soils,3.5,2023.0,"Bioavailability, Sources, and Transfer Behavior of Heavy Metals in Soil–Crop Systems from a High Geological Background Area Impacted by Artisanal Zn Smelting in Guizhou Province, Southwest China"
Guizhou,Agricultural soils,0.44,2023.0,"Health risk assessment of heavy metal pollution and its sources in agricultural soils near Hongfeng Lake in the mining area of Guizhou Province, China"
Guizhou,Natural soils,1.74,2022.0,Contamination Evaluation and Source Analysis of Heavy Metals in Karst Soil Using UNMIX Model and Pb-Cd Isotopes
Guizhou,Natural soils,0.49,,
Guizhou,Natural soils,0.65,,
Guizhou,Natural soils,0.81,,
Guizhou,Natural soils,1.15,,
Guizhou,Natural soils,1.95,,
Guizhou,Natural soils,5.21,,
Guizhou,Natural soils,1.59,,
Guizhou,Natural soils,2.42,,
Guizhou,Natural soils,7.66,,
Guizhou,Natural soils,2.54,,
Guizhou,Agricultural soils,1.0,2021.0,"Health risk assessment of heavy metals in soils and screening of accumulating plants around the Wanshan mercury mine in Northeast Guizhou Province, China"
Guizhou,Agricultural soils,1.97,,
Guizhou,Agricultural soils,0.16,,
Guizhou,Agricultural soils,3.81,,
Guizhou,Agricultural soils,0.77,,
Guizhou,Agricultural soils,0.58,,
Guizhou,Agricultural soils,0.7,,
Guizhou,Agricultural soils,0.3,,
Guizhou,Agricultural soils,0.64,2023.0,"Source analysis and health risk assessment of heavy metals in agricultural land of multi-mineral mining and smelting area in the Karst region – a case study of Jichangpo Town, Southwest China"
Guizhou,Agricultural soils,0.3,2022.0,Soil Heavy Metal Content and Enzyme Activity in Uncaria rhynchophylla-Producing Areas under Different Land Use Patterns
Guizhou,Agricultural soils,0.35,,
Guizhou,Agricultural soils,0.2,,
Guizhou,Industrial soils,1.52,2022.0,Heavy metal levels in the soil near typical coal-fired power plants: partition source apportionment and associated health risks based on PMF and HHRA
Guizhou,Agricultural soils,0.95,2022.0,"Heavy metal(loid)s in agricultural soils in the world’s largest barium-mining area: Pollution characteristics, source apportionment, and health risks using PMF model and Cd isotopes"
Guizhou,Agricultural soils,8.71,2022.0,Source Identification and Superposition Effect of Heavy Metals (HMs) in Agricultural Soils at a High Geological Background Area of Karst: A Case Study in a Typical Watershed
Guizhou,Agricultural soils,0.15,2023.0,Geochemical Characteristics and Risk Assessment of Heavy Metals in Soil and Fruit of Major Blueberry Growing Areas in Guizhou Province
Guizhou,Mining/smelting soils,1.12,2021.0,"Pollution Characteristics, Distribution and Ecological Risk of Potentially Toxic Elements in Soils from an Abandoned Coal Mine Area in Southwestern China"
Guizhou,Agricultural soils,0.39,2022.0,"Spatial distribution and main controlling factor of cadmium accumulation in agricultural soils in Guizhou, China"
Guizhou,Agricultural soils,0.34,2025.0,Comprehensive Risk Assessment of Heavy Metals Based on Pollution Sources: A Case Study for Agricultural Soils from Southwest China 
Guizhou,Agricultural soils,0.15,,
Guizhou,Agricultural soils,0.37,2022.0,Natural Factors on Heterogenetic Accumulations of PTEs in Sloping Farmland in a Typical Small Mountainous Watershed in Southwest China
Guizhou,Agricultural soils,0.41,2021.0,黔西南某农用地土壤中技术风险评估与来源解析
Guizhou,Agricultural soils,1.65,2021.0,贵州遵义下寒武统黑色页岩区土壤重金属污染和人体健康风险评价
Guizhou,Agricultural soils,2.18,,
Guizhou,Agricultural soils,1.17,2022.0,贵州汞矿区周边农田土壤汞镉复合污染特征空间分布及风险评估
Guizhou,Agricultural soils,0.94,2022.0,贵州乌蒙山区设施土壤重金属污染风险评估与来源解析
Guizhou,Agricultural soils,0.81,,
Guizhou,Agricultural soils,3.6,2022.0,黔西北山区耕地重金属健康风险评价及环境基准
Guizhou,Agricultural soils,1.23,,
Guizhou,Mining/smelting soils,0.41,2022.0,黔中喀斯特地区临近矿区耕地土壤重金属污染评价及其源解析
Guizhou,Urban soils,0.52,2022.0,贵阳市观山湖区喀斯特城乡交错区土壤重金属的分布特征及风险评价
Guizhou,Urban soils,8.14,2022.0,地质高背景与污染叠加区不同土地利用方式下土壤重金属分布特征
Guizhou,Mining/smelting soils,0.14,2022.0,贵州省典型铅锌矿区土壤重金属污染特征及来源解析
Guizhou,Mining/smelting soils,26.8,2023.0,某废弃炼锌矿区的重金属污染特征与潜在生态风险
Guizhou,Mining/smelting soils,1.62,2023.0,贵州遵义锰矿区土壤重金属分布特征及生态风险评价
Guizhou,Mining/smelting soils,2.68,2024.0,遵义市典型锰矿区土壤重金属污染空间分布特征及生态风险评价
Guizhou,Mining/smelting soils,0.25,2024.0,独山锑矿区周边土壤及农作物重金属污染特征及健康风险评估
Guizhou,Industrial soils,12.0,2024.0,电解锰渣库周边土壤重金属污染特征评价
Guizhou,Mining/smelting soils,4.58,2024.0,典型废弃锑冶炼厂土壤重金属污染特征、风险评价及来源解析
Guizhou,Urban soils,0.044,2024.0,贵阳市喀斯特地区表层土壤Cd空间分异特征及其影响因素
Guizhou,Agricultural soils,1.34,2024.0,西南典型碳酸盐岩高地质背景区农田重金属化学形态、影响因素及回归模型
Guizhou,Agricultural soils,0.44,2024.0,贵州清镇耕地土壤重金属污染风险评价及来源解析
Guizhou,Agricultural soils,0.73,2025.0,岩溶地质高背景区农田土壤重金属污染特征、风险评价与来源解析研究
Guizhou,Agricultural soils,0.69,2025.0,黔西北岩溶区耕地土壤重金属污染特征与健康风险评价
Guizhou,Mining/smelting soils,2.67,2021.0,贵州丹寨县铅锌矿区小流域土壤重金属污染特征及生态风险评价
Guizhou,Urban soils,0.07,2021.0,罗甸县不同土地利用类型对土壤重金属含量的影响
Guizhou,Urban soils,0.53,2021.0,贵州某垃圾填埋场及其附近农田土壤中重金属形态分析和评价
Guizhou,Mining/smelting soils,0.69,2023.0,黔北某锰矿区土壤重金属污染特征及潜在生态风险评价
Guizhou,Mining/smelting soils,1.9,2024.0,贵州福泉煤矿区土壤重金属污染及风险评价
Guizhou,Mining/smelting soils,12.53,2025.0,黔西北铅锌矿区土壤重金属污染特征及人体健康风险评价
Xizang,Urban soils,0.32,2022.0,"Spatial Distribution of Soil Heavy Metals and Associated Environmental Risks near Major Roads in Southern Tibet, China"
Xizang,Urban soils,0.46,,
Xizang,Agricultural soils,0.2,2023.0,The Evaluation and Sources of Heavy Metal Anomalies in the Surface Soil of Eastern Tibet
Xizang,Natural soils,0.18,2023.0,"Ecological risk evaluation and sensitivity analysis of heavy metals on soil organisms under human activities in the Tibet Plateau, China"
Xizang,Industrial soils,0.64,2024.0,"Heavy metal concentrations in soil and ecological risk assessment in the vicinity of Tianzhu Industrial Park, Qinghai-Tibet Plateau"
Xizang,Urban soils,0.4,2022.0,"Pollution Levels and Risk Assessment of Heavy Metals in the Soil of a Landfill Site: A Case Study in Lhasa, Tibet"
Xizang,Natural soils,0.26,2024.0,Distribution and Source of Heavy Metals in Tibetan Plateau Topsoil: New Insight into the Influence of Long-Range Transported Sources to the Surrounding Glaciers
Xizang,Natural soils,0.17,2024.0,Spatial differentiation and influencing factors of heavy metals in soils of typical counties in Lhasa river basin
Xizang,Natural soils,0.125,2023.0,"Spatial distribution, source identification, and risk assessment of heavy metals in riparian soils of the Tibetan plateau"
Xizang,Agricultural soils,0.12,2023.0,"Concentration, spatial distribution, and source apportionment of heavy metals in agricultural soils from the Yarlung Zangbo River Basin, Tibetan Plateau "
Xizang,Urban soils,0.09,2022.0,"Study on health risk assessment of potentially toxic elements in the soil around landfill site in Shannan City, Tibet"
Xizang,Agricultural soils,0.12,2021.0,拉萨城区及周边农田土壤的主要性质和重金属分布初探
Xizang,Agricultural soils,0.343,2021.0,西藏地区蔬菜及产地环境重金属污染风险分析与评价
Xizang,Agricultural soils,0.448,,
Xizang,Natural soils,0.23,2021.0,拉萨巴嘎雪湿地土壤重金属分布及生态风险评价
Xizang,Natural soils,0.14,2022.0,麦地卡湿地土壤重金属分布特征和污染评价
Xizang,Urban soils,0.2,2022.0,军事训练场炮弹靶场土壤重金属污染特征及生态风险评价——以西藏某训练场为例
Xizang,Urban soils,0.1,2022.0,拉萨市城区土壤重金属分布特征及生态风险评价
Xizang,Mining/smelting soils,0.37,2024.0,拉萨某尾矿库土壤重金属污染特征及风险评价
Xizang,Urban soils,0.15,2024.0,青海-10
Xizang,Urban soils,0.12,,
Xizang,Urban soils,0.1,2024.0,基于蒙特卡罗模拟的拉萨城区土壤重金属健康风险评价
Xizang,Urban soils,0.22,2023.0,工布江达县不同功能区土壤重金属空间分布特征研究
Xizang,Mining/smelting soils,0.37,2024.0,拉萨矿区土壤重金属污染特征及潜在生态风险评估
Xizang,Mining/smelting soils,8.98,,
Xizang,Mining/smelting soils,0.37,,
Yunnan,Mining/smelting soils,18.85,2024.0,"Assessment of Heavy Metal(loid) Pollution and Human Health Risks Associated with a Mineral (Zn, Cu, and Sn Ores) Processing Plant in Yunnan, Southwest China"
Yunnan,Urban soils,1.062,,长江经济带
Yunnan,Urban soils,0.722,,
